case,iou,dice
benign (70),0.8783217072486877,0.9352196455001831
benign (162),0.8526912331581116,0.9204893112182617
benign (323),0.9103699922561646,0.9530823826789856
malignant (159),0.6134716272354126,0.7604368329048157
benign (354),0.8455237150192261,0.9162967801094055
benign (125),0.916886568069458,0.956641435623169
benign (199),0.06108374521136284,0.11513463407754898
benign (347),0.8260869383811951,0.9047619104385376
benign (68),0.9499222040176392,0.9743180871009827
benign (255),0.7627789378166199,0.8654277920722961
benign (53),0.8863987922668457,0.9397788047790527
benign (185),0.8476954102516174,0.9175704717636108
benign (386),0.9103713035583496,0.9530830979347229
malignant (60),0.5949425101280212,0.7460363507270813
benign (135),0.8613636493682861,0.9255189299583435
benign (113),0.9304673075675964,0.9639813899993896
benign (21),0.8638132214546204,0.9269310832023621
malignant (38),0.8053097128868103,0.8921568393707275
benign (167),0.8692528605461121,0.9300538301467896
malignant (160),0.6699237823486328,0.802340567111969
malignant (18),0.0926472619175911,0.16958311200141907
benign (126),0.8078250885009766,0.8936982750892639
malignant (89),0.3057292699813843,0.4682888984680176
benign (262),0.714878499507904,0.8337366580963135
benign (17),0.9015151262283325,0.9482071995735168
malignant (4),0.6394351720809937,0.7800676822662354
benign (180),0.9177842736244202,0.9571298360824585
benign (172),0.7975279688835144,0.8873608112335205
benign (223),0.7223895788192749,0.8388224840164185
benign (355),0.9466666579246521,0.9726027250289917
benign (391),0.4245798885822296,0.5960773229598999
benign (393),0.7875582575798035,0.8811553716659546
benign (34),0.9260274171829224,0.9615931510925293
benign (281),0.8881401419639587,0.940756618976593
benign (189),0.9309210777282715,0.9642248749732971
benign (319),0.9182804226875305,0.9573995471000671
malignant (201),0.7604148387908936,0.8639041781425476
benign (41),0.5545051693916321,0.7134169340133667
benign (379),0.7266666889190674,0.8416988253593445
benign (163),0.4531468451023102,0.623676598072052
benign (81),0.78910893201828,0.8821250796318054
benign (91),0.7866666913032532,0.8805969953536987
malignant (141),0.8110235929489136,0.895652174949646
benign (414),0.005555280484259129,0.0110491793602705
malignant (148),0.4438818693161011,0.6148450970649719
